Rank ,Puzzles ,AMT (s) ,Solved rate ,1-sigma Mean (s) ,1-sigma STD (s) 
195,3 8 11 12 ,6.11,94.2%,6.61,2.67
196,5 6 12 13 ,6.11,97.4%,6.52,2.18
197,1 1 3 4 ,6.12,98%,6.44,2.05
198,1 1 9 13 ,6.12,97.2%,6.57,2.53
199,2 11 12 12 ,6.12,95.4%,6.5,2.26
200,3 3 4 8 ,6.12,96.2%,6.44,2.14
201,2 8 13 13 ,6.13,90.3%,6.45,2.6
202,1 7 7 12 ,6.15,88.9%,6.28,2.31
203,2 11 11 11 ,6.15,89.9%,6.26,2.5
204,10 13 13 13 ,6.15,93.4%,6.62,2.81
205,1 2 3 10 ,6.16,98.3%,6.48,2
206,1 5 7 13 ,6.16,98%,6.54,2.09
207,2 3 11 12 ,6.16,94.8%,6.73,2.75
208,2 13 13 13 ,6.17,91.1%,6.35,2.35
209,3 3 3 12 ,6.17,96.8%,6.65,2.47
210,5 5 12 13 ,6.17,95.5%,6.65,2.17
211,1 5 5 12 ,6.18,90.5%,6.38,2.33
212,4 7 12 12 ,6.18,88.6%,6.6,2.92
213,5 5 11 13 ,6.18,96.1%,6.77,2.52
214,10 10 11 12 ,6.18,93.4%,6.54,2.29
215,3 3 3 6 ,6.19,97.7%,6.74,2.58
216,8 8 11 12 ,6.2,90.6%,6.55,2.66
217,11 12 13 13 ,6.2,95.2%,6.67,2.41
218,1 2 3 8 ,6.21,97%,6.61,2.36
219,1 4 7 8 ,6.22,96.7%,6.72,2.73
220,1 10 12 12 ,6.22,95.8%,6.83,2.92
221,5 5 5 6 ,6.22,96.1%,6.68,2.33
222,1 2 2 8 ,6.23,93.4%,6.67,2.64
223,1 4 6 8 ,6.24,94.5%,6.59,2.53
224,2 2 4 5 ,6.24,98.3%,6.62,2.1
225,3 11 11 12 ,6.24,91.2%,6.45,2.17
226,1 2 13 13 ,6.25,97.1%,6.96,2.71
227,1 1 5 7 ,6.26,96.5%,6.58,2.1
228,1 4 8 8 ,6.26,96.5%,6.72,2.47
229,1 8 10 13 ,6.26,94.8%,6.58,2.42
230,4 4 10 13 ,6.26,93.5%,6.74,2.8
231,7 7 12 13 ,6.26,93.7%,6.68,2.37
232,1 5 10 10 ,6.27,97.3%,6.65,2.3
233,4 6 12 13 ,6.27,93.8%,6.8,2.86
234,1 2 3 12 ,6.28,96.2%,6.82,2.54
235,2 7 8 12 ,6.29,95%,6.74,2.58
236,1 4 12 12 ,6.3,91.3%,6.55,2.49
237,4 4 5 6 ,6.3,95.7%,6.59,2.25
238,7 9 11 11 ,6.3,95.7%,6.78,2.64
239,1 3 8 9 ,6.31,92.3%,6.89,3.24
240,6 7 11 12 ,6.31,96.8%,6.85,2.6
241,1 2 10 11 ,6.32,97.6%,6.67,2.39
242,1 3 11 11 ,6.32,97.3%,6.7,2.42
243,2 2 2 8 ,6.32,96.5%,6.88,2.73
244,2 12 12 13 ,6.32,95.6%,6.72,2.38
245,1 4 4 5 ,6.33,96.9%,6.86,2.69
246,1 5 8 9 ,6.33,94%,6.81,2.65
247,9 9 12 13 ,6.33,94.1%,6.67,2.21
248,1 5 7 8 ,6.34,94.7%,6.73,2.43
249,4 8 9 9 ,6.34,90.5%,6.51,2.29
250,2 12 12 12 ,6.35,98.4%,6.75,2.46
251,2 11 13 13 ,6.39,94.3%,6.87,2.5
252,3 6 7 8 ,6.39,97.8%,6.79,2.31
253,1 2 12 12 ,6.4,95.9%,6.74,2.21
254,8 8 8 10 ,6.4,90.4%,6.75,2.92
255,1 8 8 9 ,6.41,96.3%,6.92,2.71
256,2 8 10 11 ,6.41,94.8%,6.91,2.63
257,2 8 11 11 ,6.41,88.5%,6.58,2.79
258,4 5 9 9 ,6.41,88.4%,6.64,2.71
259,1 3 6 6 ,6.42,97.2%,6.9,2.59
260,1 6 6 13 ,6.42,97.3%,6.8,2.43
261,1 6 7 11 ,6.42,97.4%,7.06,2.88
262,1 2 8 8 ,6.43,96.1%,6.98,2.71
263,3 6 10 11 ,6.43,95.8%,7.08,2.89
264,3 7 9 9 ,6.43,91.2%,6.89,2.8
265,10 10 10 13 ,6.43,93%,6.86,3
266,2 5 6 12 ,6.44,95.2%,6.83,2.53
267,1 3 3 7 ,6.45,96.1%,7.29,3.34
268,2 6 6 12 ,6.45,97.7%,6.98,2.56
269,4 5 13 13 ,6.45,87.8%,6.7,2.83
270,6 6 11 12 ,6.45,89.1%,6.77,2.98
271,1 6 9 9 ,6.47,97.4%,6.9,2.51
272,3 12 13 13 ,6.47,91.1%,6.65,2.3
273,4 4 4 4 ,6.47,97.8%,7.07,2.92
274,1 3 5 8 ,6.48,95.1%,7.14,2.9
275,2 3 11 13 ,6.48,91.9%,6.91,2.77
276,1 1 3 11 ,6.49,94.3%,6.72,1.98
277,1 2 4 6 ,6.49,95.9%,6.88,2.53
278,6 10 10 10 ,6.49,95.8%,6.75,2.3
279,1 7 8 12 ,6.5,95.6%,6.99,2.66
280,1 9 12 12 ,6.51,92.5%,6.87,2.8
281,10 11 11 13 ,6.51,94.7%,6.9,2.61
282,1 4 4 7 ,6.52,96%,7.25,3.2
283,2 2 2 11 ,6.52,92.1%,6.81,2.68
284,4 5 6 6 ,6.52,95.3%,6.84,2.34
285,1 4 6 13 ,6.53,97.5%,6.98,2.39
286,4 6 7 8 ,6.53,95.7%,6.96,2.48
287,12 13 13 13 ,6.53,94.4%,6.88,2.44
288,1 3 3 5 ,6.54,95%,6.8,2.49
289,2 4 5 12 ,6.54,94.4%,7,2.9
290,3 4 5 8 ,6.54,96.2%,7,2.65
291,3 5 11 11 ,6.55,94.5%,7.06,2.97
292,1 4 7 13 ,6.56,96.6%,7.24,2.95
293,1 5 8 10 ,6.57,96.4%,7.12,2.55
294,3 9 9 12 ,6.57,94.8%,6.96,2.59
295,1 5 10 12 ,6.58,92%,6.99,3.08
296,1 6 8 10 ,6.58,97%,7.01,2.4
297,2 3 4 6 ,6.58,97.7%,7,2.29
298,2 8 8 13 ,6.58,92.9%,6.97,2.59
299,2 10 11 12 ,6.58,95.8%,6.88,2.4
300,3 7 11 11 ,6.58,88%,6.8,3.03
301,3 7 13 13 ,6.58,87.2%,6.71,2.75
302,5 6 6 7 ,6.58,97.9%,7.08,2.44
303,1 2 5 6 ,6.59,94.4%,7.11,2.75
304,1 7 7 11 ,6.59,96.8%,7.15,2.6
305,3 10 10 12 ,6.59,94.3%,6.93,2.32
306,4 6 11 12 ,6.59,92.8%,6.98,2.92
307,7 8 11 12 ,6.59,96.2%,7.07,2.65
308,4 6 12 12 ,6.6,96.9%,7.06,2.44
309,3 7 7 12 ,6.61,90%,6.78,2.58
310,1 3 3 9 ,6.62,96.8%,7.16,2.83
311,1 3 13 13 ,6.62,97%,7.13,2.59
312,2 2 8 12 ,6.63,98%,7.06,2.29
313,1 10 11 12 ,6.64,94.6%,7.02,2.51
314,3 6 6 7 ,6.65,93.7%,7.11,2.69
315,4 4 12 13 ,6.65,91.9%,7.03,2.55
316,1 2 10 13 ,6.66,97%,7.15,2.71
317,3 8 9 10 ,6.66,96.2%,7,2.5
318,2 5 6 11 ,6.67,96.4%,7.16,2.61
319,2 8 9 12 ,6.67,95%,7.07,2.73
320,3 3 3 3 ,6.67,96%,7.39,3.33
321,1 2 3 6 ,6.68,97%,7.09,2.42
322,1 2 5 5 ,6.69,95.1%,7.2,2.9
323,1 3 3 3 ,6.69,95.6%,7.08,2.53
324,1 9 11 12 ,6.69,93.6%,7.11,3
325,1 12 12 12 ,6.69,93.5%,6.9,2.58
326,5 6 7 7 ,6.69,87.7%,6.86,2.71
327,9 9 10 13 ,6.69,91%,6.88,2.67
328,2 2 5 5 ,6.71,93.2%,7.08,2.48
329,1 4 8 13 ,6.72,97.4%,7.1,2.45
330,4 4 5 5 ,6.72,93.2%,7.16,2.55
331,5 7 10 12 ,6.72,96.7%,7.15,2.45
332,6 7 12 13 ,6.72,95.4%,7.2,2.72
333,1 1 2 7 ,6.73,95.4%,6.95,2.06
334,3 4 10 13 ,6.73,96.5%,7.19,2.82
335,4 5 11 11 ,6.73,87.3%,7.2,3.59
336,3 3 5 6 ,6.74,96.3%,7.34,2.67
337,6 8 10 12 ,6.74,97.2%,7.29,2.79
338,1 5 6 6 ,6.75,93.7%,7.42,3.4
339,1 2 5 7 ,6.76,95.1%,7.09,2.66
340,1 1 6 12 ,6.78,91%,7.41,3.38
341,2 2 2 13 ,6.78,93.3%,7.12,2.72
342,1 2 11 13 ,6.79,93.6%,7.43,3.1
343,1 6 6 10 ,6.79,93.5%,7.15,3.07
344,2 2 2 4 ,6.79,95.9%,7.12,2.47
345,2 3 12 13 ,6.79,95.9%,7.26,2.63
346,3 3 12 13 ,6.79,93.3%,7.23,2.65
347,4 5 7 7 ,6.8,91.2%,7.43,3.5
348,7 7 10 13 ,6.8,89.6%,7.09,3.13
349,1 1 2 9 ,6.81,94.7%,7.1,2.33
350,5 7 11 11 ,6.81,96%,7.25,2.67
351,2 11 11 13 ,6.82,95%,7.33,2.86
352,3 4 5 7 ,6.82,96.7%,7.3,2.66
353,8 9 11 12 ,6.82,95.2%,7.48,3.04
354,4 8 8 8 ,6.83,94.5%,7.2,2.78
355,11 12 12 13 ,6.83,97.1%,7.42,2.67
356,1 6 8 11 ,6.84,97.7%,7.3,2.46
357,2 4 4 8 ,6.84,96.5%,7.24,2.66
358,4 7 7 7 ,6.84,88.9%,7.02,3
359,2 6 6 8 ,6.85,95.5%,7.43,2.99
360,4 4 4 8 ,6.85,96.3%,7.44,2.86
361,5 6 13 13 ,6.85,86.9%,6.94,2.72
362,7 8 12 13 ,6.85,96.5%,7.34,2.6
363,2 4 13 13 ,6.86,95.6%,7.39,2.77
364,7 9 13 13 ,6.86,96.2%,7.43,2.78
365,9 11 11 11 ,6.86,95.3%,7.22,2.75
366,1 9 10 12 ,6.87,93.8%,7.21,2.74
367,1 3 4 4 ,6.88,93.2%,7.18,3.04
368,4 7 13 13 ,6.88,87.6%,7.09,2.96
369,1 1 3 5 ,6.89,95.2%,7.2,2.32
370,1 1 4 9 ,6.89,93.4%,7.07,2.31
371,6 9 12 12 ,6.89,89.2%,7.44,3.65
372,1 3 6 7 ,6.9,96.1%,7.31,2.78
373,1 3 10 11 ,6.9,96.4%,7.56,3.11
374,4 7 10 11 ,6.9,97.1%,7.43,2.73
375,8 9 10 13 ,6.91,95.9%,7.41,2.68
376,1 2 2 11 ,6.92,97%,7.48,2.94
377,1 11 12 12 ,6.92,94.2%,7.47,3.15
378,2 5 5 13 ,6.92,91.9%,7.33,2.76
379,9 10 11 12 ,6.92,96.1%,7.43,2.77
380,2 8 12 12 ,6.93,95%,7.29,2.61
381,3 3 3 7 ,6.93,92.1%,7.36,3.15
382,4 6 9 10 ,6.93,93.7%,7.47,3.25
383,5 5 10 10 ,6.93,86.8%,7.24,3.12
384,6 8 11 11 ,6.93,94.1%,7.46,3.06
385,8 9 12 13 ,6.93,96%,7.43,2.71
386,1 2 11 12 ,6.94,96.9%,7.65,3.18
387,2 5 12 12 ,6.94,83.4%,7.37,4.11
388,2 5 5 8 ,6.95,88%,7.11,3.11
389,2 6 10 12 ,6.95,95.2%,7.42,2.8
390,3 3 3 10 ,6.95,94.2%,7.51,3.25
391,4 5 10 10 ,6.95,91%,7.27,3.04
392,2 4 5 8 ,6.96,95.1%,7.35,2.76
393,4 7 8 8 ,6.96,94.1%,7.36,2.55
394,8 8 10 13 ,6.96,90.4%,7.36,3.06
395,3 8 8 9 ,6.97,95.6%,7.29,2.52
396,1 1 8 8 ,6.98,89.6%,7.43,3.68
397,1 2 6 7 ,6.98,95.2%,7.36,2.56
398,2 9 9 11 ,6.98,87.3%,6.98,2.68
399,2 6 7 13 ,6.99,96.7%,7.39,2.65
400,11 11 12 13 ,6.99,95%,7.41,2.49
401,2 2 12 13 ,7,92.2%,7.27,2.62
402,5 5 10 13 ,7,89.7%,7.35,3.24
403,6 7 10 13 ,7,96.4%,7.52,2.77
404,4 4 4 12 ,7.01,96.5%,7.5,2.95
405,5 6 9 9 ,7.01,90.5%,7.26,2.73
406,5 6 11 11 ,7.01,87.2%,7.22,3.15
407,1 3 7 13 ,7.02,96.8%,7.4,2.62
408,1 8 8 11 ,7.02,93.4%,7.48,3.47
409,6 8 8 8 ,7.02,88%,7.42,3.48
410,1 3 5 13 ,7.03,94.2%,7.43,2.71
411,2 9 9 13 ,7.03,88.6%,7.1,2.52
412,3 6 6 12 ,7.03,95.3%,7.67,2.91
413,3 6 9 9 ,7.03,94%,7.6,3.26
414,1 6 8 8 ,7.04,93%,7.35,2.95
415,5 5 13 13 ,7.04,85.5%,7.25,3.11
416,9 12 12 12 ,7.04,82.4%,7.1,3.7
417,1 7 7 9 ,7.05,96.3%,7.41,2.82
418,1 8 8 10 ,7.05,92.3%,7.37,2.97
419,2 6 7 12 ,7.05,92.1%,7.21,2.92
420,8 8 9 11 ,7.05,89.6%,7.61,3.69
421,2 3 5 5 ,7.06,96.2%,7.58,2.91
422,3 7 12 13 ,7.06,93.8%,7.54,3.02
423,2 3 3 13 ,7.07,94%,7.61,2.94
424,8 8 12 13 ,7.07,92.1%,7.37,2.64
425,8 10 11 11 ,7.07,94.7%,7.48,2.77
426,3 3 4 4 ,7.08,94.4%,7.46,2.7
427,3 5 5 6 ,7.08,89.1%,7.32,3.12
428,5 5 6 6 ,7.08,93.1%,7.54,2.83
429,1 3 9 11 ,7.09,95%,7.62,3.11
430,1 7 8 11 ,7.09,92.5%,7.44,3.08
431,2 2 10 13 ,7.09,90%,7.31,3.07
432,4 8 11 12 ,7.09,93%,7.66,3.16
433,1 2 3 5 ,7.1,95.5%,7.4,2.38
434,1 3 10 12 ,7.1,96.3%,7.55,2.74
435,1 2 2 13 ,7.11,96.5%,7.67,3.12
436,2 5 9 12 ,7.11,95.4%,7.56,2.87
437,5 5 11 11 ,7.11,85.9%,7.31,3.25
438,1 2 7 10 ,7.12,90.9%,7.84,4.04
439,1 7 10 12 ,7.12,92.7%,7.57,3.06
440,10 10 12 13 ,7.12,92.2%,7.45,2.62
441,3 4 11 12 ,7.14,95.1%,7.75,3.35
442,4 6 6 8 ,7.14,97.3%,7.63,2.63
443,1 5 6 9 ,7.15,91.9%,7.59,3.45
444,1 3 4 11 ,7.16,95.9%,7.66,2.89
445,2 6 10 10 ,7.16,95.7%,7.65,3.02
446,1 10 12 13 ,7.17,94.3%,7.51,2.86
447,2 7 7 13 ,7.17,86.2%,7.29,3.03
448,3 8 8 12 ,7.17,91.6%,7.67,3.13
449,6 6 6 11 ,7.17,88.6%,7.42,3.41
450,1 2 4 10 ,7.18,96.2%,7.67,3.17
451,2 8 8 8 ,7.18,93.8%,7.73,3.33
452,6 6 12 13 ,7.19,90.3%,7.6,3.08
453,2 9 10 12 ,7.2,93.8%,7.51,2.83
454,3 4 5 12 ,7.2,97%,7.62,2.67
455,3 6 11 12 ,7.2,93.5%,7.71,3.15
456,4 7 12 13 ,7.2,92.3%,7.77,3.4
457,7 8 8 9 ,7.2,86.6%,7.6,3.78
458,1 5 9 9 ,7.21,94.4%,7.73,3.16
459,2 2 7 13 ,7.21,96.2%,7.63,2.93
460,4 5 11 13 ,7.21,90.3%,7.6,3.26
461,5 9 10 10 ,7.22,92.7%,7.6,3.06
462,3 7 7 9 ,7.23,86.5%,7.26,2.96
463,3 7 11 12 ,7.23,90.7%,7.75,3.53
464,4 8 10 12 ,7.24,95.7%,7.75,2.88
465,5 6 11 13 ,7.24,91.7%,7.78,3.36
466,1 3 4 5 ,7.25,97.5%,7.74,2.52
467,1 3 7 8 ,7.25,89.2%,7.45,3.48
468,1 12 12 13 ,7.25,94.2%,7.78,3.17
469,3 9 10 11 ,7.25,93%,7.61,2.92
470,5 5 7 8 ,7.26,92.4%,7.72,2.95
471,1 6 8 13 ,7.27,94.3%,7.71,2.82
472,3 5 13 13 ,7.27,94.2%,7.73,3.07
473,1 7 9 13 ,7.28,93.7%,7.53,2.54
474,5 10 11 11 ,7.28,90.4%,7.53,2.81
475,7 9 10 12 ,7.28,94%,7.82,3.17
476,1 6 6 9 ,7.29,90.5%,7.75,3.31
477,2 2 3 9 ,7.3,94.5%,7.75,2.89
478,2 6 7 9 ,7.3,95.9%,7.81,3.04
479,2 4 10 12 ,7.31,96.6%,7.99,3.16
480,3 5 5 12 ,7.31,89%,7.64,3.32
481,4 7 11 11 ,7.31,86.3%,7.42,3.36
482,1 1 6 8 ,7.32,94.8%,7.65,2.55
483,2 3 3 11 ,7.32,89.4%,7.56,3.21
484,4 5 5 8 ,7.32,87.9%,7.44,2.91
